"","player","role","mode","matches_played","win_rate","kd"
"1","MajorManiak","AR","Search & Destroy",7,0.714285714285714,1.1
"2","MarkyB","SMG","Capture The Flag",7,0.714285714285714,0.943089430894309
"3","Crimsix","SMG","Hardpoint",67,0.703125,1.09774665042631
"4","Scump","SMG","Hardpoint",67,0.703125,1.05972745723398
"5","Methodz","AR","Hardpoint",67,0.698412698412698,1.25169811320755
"6","Octane","AR","Hardpoint",69,0.697841726618705,1.21257668711656
"7","Loony","SMG","Capture The Flag",73,0.692307692307692,1.01016138673042
"8","TJHaly","SMG","Capture The Flag",73,0.692307692307692,1.01288936627282
"9","Gunless","AR","Capture The Flag",78,0.680851063829787,1.10416666666667
"10","Accuracy","AR","Hardpoint",80,0.668831168831169,1.06092012133468
"11","Kenny","SMG","Hardpoint",80,0.668831168831169,1.06397615225866
"12","Alex","SMG","Search & Destroy",38,0.666666666666667,1.01111111111111
"13","Karma","SMG","Capture The Flag",42,0.666666666666667,1.04034896401309
"14","JKap","SMG","Capture The Flag",71,0.648351648351648,1.03065355696935
"15","John","SMG","Capture The Flag",71,0.648351648351648,1.04533042053523
"16","Slacked","SMG","Capture The Flag",71,0.648351648351648,0.967926689576174
"17","Karma","SMG","Hardpoint",42,0.647058823529412,0.952855847688123
"18","Formal","AR","Capture The Flag",70,0.646341463414634,1.13245033112583
"19","Gunless","AR","Search & Destroy",78,0.644067796610169,1.17821782178218
"20","Loony","SMG","Search & Destroy",73,0.643478260869565,0.904371584699454
"21","TJHaly","SMG","Search & Destroy",73,0.643478260869565,1.12942779291553
"22","Joee","SMG","Hardpoint",71,0.642384105960265,0.847912292978773
"23","Rated","AR","Hardpoint",71,0.642384105960265,1.12826465467208
"24","Zer0","SMG","Hardpoint",71,0.642384105960265,1.02332657200811
"25","Attach","SMG","Capture The Flag",84,0.640449438202247,1.11042944785276
"26","Priestah","SMG","Capture The Flag",84,0.640449438202247,1.02310654685494
"27","Replays","AR","Capture The Flag",84,0.640449438202247,1.01085481682497
"28","Zoomaa","SMG","Capture The Flag",84,0.640449438202247,1.04824300178678
"29","Methodz","AR","Capture The Flag",67,0.6375,1.175
"30","Octane","AR","Capture The Flag",69,0.632183908045977,1.10340479192938
"31","Crimsix","SMG","Capture The Flag",67,0.628205128205128,1.12454742939899
"32","Scump","SMG","Capture The Flag",67,0.628205128205128,1.03061224489796
"33","Zed","SMG","Search & Destroy",37,0.622222222222222,1.05
"34","JKap","SMG","Hardpoint",71,0.618055555555556,0.962640736949846
"35","John","SMG","Hardpoint",71,0.618055555555556,1.01379310344828
"36","Slacked","SMG","Hardpoint",71,0.618055555555556,1.0178952991453
"37","Formal","AR","Hardpoint",70,0.616541353383459,1.15747015166183
"38","Loony","SMG","Hardpoint",73,0.615384615384615,0.96491705194452
"39","TJHaly","SMG","Hardpoint",73,0.615384615384615,0.945205479452055
"40","Gunless","AR","Hardpoint",78,0.608108108108108,1.0832482124617
"41","Fero","SMG","Hardpoint",69,0.607692307692308,1.01715893108298
"42","Felony","SMG","Capture The Flag",54,0.607142857142857,0.912058023572076
"43","Theory","SMG","Hardpoint",52,0.604395604395604,0.834852351440029
"44","Chino","AR","Hardpoint",70,0.603053435114504,1.04795528096499
"45","Seany","SMG","Search & Destroy",63,0.602272727272727,0.961748633879781
"46","Wuskin","AR","Search & Destroy",63,0.602272727272727,1.11088295687885
"47","Proto","SMG","Search & Destroy",21,0.6,0.894409937888199
"48","QwiKeR","SMG","Search & Destroy",12,0.6,0.897959183673469
"49","Temp","SMG","Capture The Flag",70,0.6,1.07376425855513
"50","Slasher","AR","Capture The Flag",81,0.595505617977528,1.26811103588355
"51","Aqua","AR","Capture The Flag",60,0.594202898550725,1.15146443514644
"52","Skrapz","SMG","Hardpoint",69,0.594202898550725,1.06535947712418
"53","Arcitys","AR","Capture The Flag",75,0.590361445783133,1.06112637362637
"54","Clayster","AR","Capture The Flag",75,0.590361445783133,1.08265027322404
"55","Prestinni","SMG","Capture The Flag",75,0.590361445783133,1.01180857675575
"56","Skrapz","SMG","Search & Destroy",69,0.589473684210526,1.20071684587814
"57","Saints","SMG","Search & Destroy",59,0.588888888888889,1.14234234234234
"58","Enable","SMG","Hardpoint",74,0.588709677419355,1.00293772032902
"59","Goonjar","AR","Search & Destroy",26,0.585365853658537,1.08
"60","Royalty","SMG","Search & Destroy",26,0.585365853658537,1.04132231404959
"61","Xotic","SMG","Search & Destroy",26,0.585365853658537,1.17094017094017
"62","Attach","SMG","Search & Destroy",84,0.583333333333333,1.11388888888889
"63","Braaain","AR","Hardpoint",7,0.583333333333333,1.08906882591093
"64","Faccento","SMG","Capture The Flag",61,0.583333333333333,0.964965727341965
"65","Priestah","SMG","Search & Destroy",84,0.583333333333333,1.10349854227405
"66","Replays","AR","Search & Destroy",84,0.583333333333333,1.0952380952381
"67","Zoomaa","SMG","Search & Destroy",84,0.583333333333333,1.13766233766234
"68","Silly","SMG","Hardpoint",76,0.579710144927536,1.02304915301305
"69","Faccento","SMG","Search & Destroy",61,0.578947368421053,0.829787234042553
"70","Silly","SMG","Capture The Flag",76,0.578313253012048,0.951267056530214
"71","Aqua","AR","Search & Destroy",60,0.576086956521739,1.22727272727273
"72","Felony","SMG","Hardpoint",54,0.574468085106383,0.945226321795359
"73","Saints","SMG","Capture The Flag",59,0.573529411764706,1.05873015873016
"74","MajorManiak","AR","Capture The Flag",7,0.571428571428571,0.884615384615385
"75","Assault","AR","Capture The Flag",74,0.569620253164557,1.2006196746708
"76","Joee","SMG","Search & Destroy",71,0.568807339449541,0.909604519774011
"77","Rated","AR","Search & Destroy",71,0.568807339449541,1.06599713055954
"78","Zer0","SMG","Search & Destroy",71,0.568807339449541,1.09090909090909
"79","Aches","AR","Hardpoint",68,0.566666666666667,0.959139784946237
"80","Apathy","SMG","Hardpoint",68,0.566666666666667,1.02606267452684
"81","Theory","SMG","Search & Destroy",52,0.565789473684211,0.84
"82","Methodz","AR","Search & Destroy",67,0.564356435643564,1.07717569786535
"83","JKap","SMG","Search & Destroy",71,0.564102564102564,0.846256684491979
"84","John","SMG","Search & Destroy",71,0.564102564102564,1.0613810741688
"85","Slacked","SMG","Search & Destroy",71,0.564102564102564,1.03846153846154
"86","Moose","SMG","Search & Destroy",38,0.563636363636364,1.01869158878505
"87","Tommey","SMG","Hardpoint",49,0.561797752808989,0.995928338762215
"88","Slasher","AR","Search & Destroy",81,0.56140350877193,1.24285714285714
"89","Aches","AR","Capture The Flag",67,0.56,1.05176470588235
"90","Apathy","SMG","Capture The Flag",67,0.56,1.04647560030984
"91","Assault","AR","Hardpoint",74,0.56,1.11399662731872
"92","Joshh","SMG","Capture The Flag",59,0.56,0.980338983050847
"93","Slasher","AR","Hardpoint",81,0.56,1.18484848484848
"94","Zed","SMG","Hardpoint",37,0.557377049180328,0.996894409937888
"95","Joee","SMG","Capture The Flag",71,0.556818181818182,0.821064552661382
"96","Rated","AR","Capture The Flag",71,0.556818181818182,1.03601833660773
"97","Zer0","SMG","Capture The Flag",71,0.556818181818182,1.00992555831266
"98","Peatie","SMG","Search & Destroy",13,0.555555555555556,0.902439024390244
"99","Joshh","SMG","Hardpoint",59,0.553719008264463,0.883503401360544
"100","Tommey","SMG","Capture The Flag",49,0.553571428571429,1.02681992337165
"101","Arcitys","AR","Hardpoint",75,0.553191489361702,1.13073463268366
"102","Clayster","AR","Hardpoint",75,0.553191489361702,1.06257046223224
"103","Prestinni","SMG","Hardpoint",75,0.553191489361702,0.928336466165414
"104","Buzzo","AR","Search & Destroy",57,0.550561797752809,0.909926470588235
"105","Denz","SMG","Search & Destroy",57,0.550561797752809,1.18725868725869
"106","Fighta","SMG","Search & Destroy",57,0.550561797752809,0.942342342342342
"107","Shockz","SMG","Search & Destroy",57,0.550561797752809,1.14634146341463
"108","Bevils","SMG","Search & Destroy",25,0.545454545454545,0.839622641509434
"109","Proto","SMG","Capture The Flag",21,0.545454545454545,0.958230958230958
"110","Accuracy","AR","Search & Destroy",80,0.544715447154472,1.18057455540356
"111","Kenny","SMG","Search & Destroy",80,0.544715447154472,1.09731113956466
"112","Fero","SMG","Search & Destroy",69,0.542857142857143,1.18449612403101
"113","Classic","SMG","Capture The Flag",68,0.540540540540541,0.908440629470672
"114","Huke","SMG","Capture The Flag",68,0.540540540540541,1.07739463601533
"115","Alex","SMG","Capture The Flag",38,0.538461538461538,1.04447632711621
"116","Bance","SMG","Hardpoint",65,0.538461538461538,0.96773220747889
"117","Decemate","SMG","Search & Destroy",65,0.538461538461538,1.13916500994036
"118","MadCat","AR","Hardpoint",65,0.538461538461538,1.04680242943909
"119","Attach","SMG","Hardpoint",84,0.536912751677852,1.03952158086323
"120","Priestah","SMG","Hardpoint",84,0.536912751677852,1.0251256281407
"121","Replays","AR","Hardpoint",84,0.536912751677852,1.01555676855895
"122","Zoomaa","SMG","Hardpoint",84,0.536912751677852,1.0130777903044
"123","Jurd","SMG","Capture The Flag",61,0.536231884057971,1
"124","Bance","SMG","Capture The Flag",65,0.534246575342466,0.895048041389505
"125","MadCat","AR","Capture The Flag",65,0.534246575342466,1.1486013986014
"126","Classic","SMG","Hardpoint",68,0.528455284552846,0.937273823884198
"127","Huke","SMG","Hardpoint",68,0.528455284552846,1.07120646766169
"128","Chino","AR","Search & Destroy",70,0.527777777777778,1.03397341211226
"129","Jurd","SMG","Hardpoint",61,0.527272727272727,0.990816326530612
"130","Theory","SMG","Capture The Flag",52,0.527272727272727,0.805699481865285
"131","Octane","AR","Search & Destroy",69,0.526785714285714,1.16058394160584
"132","QwiKeR","SMG","Hardpoint",12,0.523809523809524,0.901303538175047
"133","Assault","AR","Search & Destroy",74,0.520408163265306,1.11202635914333
"134","Temp","SMG","Search & Destroy",70,0.519607843137255,0.979133226324238
"135","Chino","AR","Capture The Flag",70,0.518987341772152,0.986878453038674
"136","Ricky","AR","Search & Destroy",55,0.518072289156627,0.966517857142857
"137","Alex","SMG","Hardpoint",38,0.516129032258065,0.988202247191011
"138","Goonjar","AR","Capture The Flag",26,0.516129032258065,1.02076124567474
"139","Royalty","SMG","Capture The Flag",26,0.516129032258065,0.949838187702265
"140","Xotic","SMG","Capture The Flag",26,0.516129032258065,1.00346620450607
"141","Seany","SMG","Hardpoint",63,0.512396694214876,0.933174933174933
"142","Wuskin","AR","Hardpoint",63,0.512396694214876,1.09862716763006
"143","Formal","AR","Search & Destroy",70,0.510416666666667,1.07592891760905
"144","Arcitys","AR","Search & Destroy",75,0.504424778761062,1.00970873786408
"145","Clayster","AR","Search & Destroy",75,0.504424778761062,1.11869031377899
"146","Prestinni","SMG","Search & Destroy",75,0.504424778761062,0.920595533498759
"147","Abezy","SMG","Search & Destroy",20,0.5,1.31055900621118
"148","Chain","SMG","Capture The Flag",6,0.5,0.862595419847328
"149","Chain","SMG","Hardpoint",6,0.5,0.86864406779661
"150","Denza","SMG","Capture The Flag",8,0.5,0.901234567901235
"151","Denza","SMG","Hardpoint",8,0.5,1.00332225913621
"152","Diabolic","SMG","Search & Destroy",20,0.5,0.886792452830189
"153","Maple","AR","Capture The Flag",6,0.5,0.876106194690266
"154","Maple","AR","Hardpoint",6,0.5,0.9
"155","Maux","AR","Search & Destroy",20,0.5,0.938461538461538
"156","Phantomz","AR","Capture The Flag",8,0.5,1.25384615384615
"157","Sender","AR","Search & Destroy",20,0.5,0.748571428571429
"158","Study","SMG","Hardpoint",13,0.5,0.950266429840142
"159","Zed","SMG","Capture The Flag",37,0.5,0.975920679886686
"160","Silly","SMG","Search & Destroy",76,0.495495495495495,0.911323328785812
"161","Enable","SMG","Search & Destroy",73,0.49,0.797822706065319
"162","Censor","SMG","Capture The Flag",41,0.488888888888889,0.807200929152149
"163","Decemate","SMG","Hardpoint",65,0.485981308411215,1.00145296040683
"164","Nameless","SMG","Capture The Flag",33,0.485714285714286,0.856466876971609
"165","Classic","SMG","Search & Destroy",68,0.484536082474227,0.867313915857605
"166","Huke","SMG","Search & Destroy",68,0.484536082474227,0.97444089456869
"167","Abezy","SMG","Hardpoint",19,0.483870967741935,0.989247311827957
"168","Diabolic","SMG","Hardpoint",19,0.483870967741935,0.936026936026936
"169","GodRx","SMG","Search & Destroy",24,0.483870967741935,1.02985074626866
"170","Pandur","SMG","Search & Destroy",24,0.483870967741935,1.04545454545455
